class_both,isAdvertisement,isLocalGuide,name,reviewerNumberOfReviews,reviewsCount,stars,review_text,textTranslated,place_title,place_totalScore,translatedLanguage
Hot pot restaurant ,FALSE,TRUE,Zozo,444,1128,5,"Haidilao @ Jurong Point is serving up a full-on hotpot feast for two, loaded with Haidilao’s greatest hits — all for just $60.

Can choose premium meats, fresh veggies,  tofu,  noodles etc

Available only at Jurong Point and the notice board says till 31 August 2025",,Haidilao,4.7,
Hot pot restaurant ,FALSE,FALSE,tan soo fei,0,1128,5,Good service from a friendly and helpful staff “Xin Wei”. ☺️,,Haidilao,4.7,
Hot pot restaurant ,FALSE,TRUE,Alicia Ong,161,1128,5,"Food has improved.  小樺 is cheerful and attentive.  She took such good care of us.  Making us feel like some royal members.  I love their porridge and desserts.
However seeing all their young staff working so hard I wish the company can groom them with self development courses.  I am sure some will work hard study hard and repay the company better with.",,Haidilao,4.7,
Hot pot restaurant ,FALSE,FALSE,sim,5,1128,5,,,Haidilao,4.7,
Hot pot restaurant ,FALSE,FALSE,steven Quah,4,1128,5,"thanks ERIC from the jurong point HDL.

celebrating my 1 year old boy birthday. his service and smile make our celebration 🍾 😍",,Haidilao,4.7,
Hot pot restaurant ,FALSE,FALSE,John Lim,5,1128,5,"服务员非常热情友善！尤其是服务员“小不点”和服务员“丁照溪”，非常喜欢她们的服务！给她们的服务满分💯点赞👍

今天再次光临，再次发现两位可爱的小姐姐服务员💁‍♀️：小芯和小雯！
她们的服务态度真的非常棒，爱了爱了😍","The waiters were so welcoming and friendly! Especially waiters ""Xiaobutian"" and ""Ding Zhaoxi."" I absolutely loved their service! Full marks for their service 💯 Thumbs up 👍

I visited again today and spotted two lovely waitresses again 💁‍♀️: Xiaoxin and Xiaowen!
Their service was truly amazing. I love them 😍",Haidilao,4.7,en
Hot pot restaurant ,FALSE,FALSE,Jermin Qi,8,1128,5,"Today went to Haidilao Jurong Point branch with my bf for 2 pax promo of $39.90 with a very good pricing,the staff Aina serves us with very good services and very friendly👍🏻👏",,Haidilao,4.7,
Hot pot restaurant ,FALSE,FALSE,Ben Ben,3,1128,5,Waitress is too friendly and kind,,Haidilao,4.7,
Hot pot restaurant ,FALSE,FALSE,x Xuan,5,1128,1,"When I arrived at the store, no staff assisted me. I collected my order and walked home it’s only a 10-minute walk, and I never opened or shook the bag. Yet, when I got home, I discovered that spicy oil had leaked inside the insulated bag. The takeaway container was greasy and clearly had not been wiped or cleaned before packing.

The food quality was equally unsatisfactory. The chicken came in one large, uncut chunk, and the noodles were overcooked to the point of being mushy. For a brand like Haidilao, I expected much better quality control and packaging standards.

This was my first time ordering Haidilao takeaway, and it will likely be my last unless there are significant improvements in service and food quality.",,Haidilao,4.7,
Hot pot restaurant ,FALSE,FALSE,tan gladdys,11,1128,2,"一直是海底捞的老顾客，以前在新加坡多家分店用餐都很愉快。但 2025 年 8 月 在该分店的免费美甲服务，却是我最失望的一次体验。

📌 等待时间过长
周末明确写明不提供卸甲服务、平均每人 35 分钟，但我等了近 3 小时，其中一个号码卡了 2 小时，最后才被告知前面有人在卸甲。规则与执行明显不一致。

📌 手法粗鲁+态度欠佳
轮到我时，先是被电话催促，结果到场后美甲师本人不在位，还等了十多分钟。期间不耐烦地拒绝我参考墙上的款式，明明说不用剪短指甲，仍被剪到拇指完全没有游离白边，影响日常。上色过程催促频繁、照灯时间不足，涂到皮肤上也不处理。

📌 公共区域体验不佳
用餐时查看 iPad，黑制服员工直接从我手中拿走并操作，没有任何说明或征询。

✅ 唯一亮点
内场粉色制服小姐姐非常贴心，服务细致，交接清楚。

我已将完整情况电邮至海底捞客服并提供所需信息，希望品牌能以专业与负责的态度认真处理 但至今仍未收到任何回复。

真是对品牌方的处理深感失望。

-当天的美甲师叫candy
-粉色衣服的内场人员是 娜娜跟sin wei","I've been a regular Haidilao customer and have enjoyed dining at several branches in Singapore. However, the free manicure at this branch in August 2025 was my most disappointing experience.

📌 Excessive Waiting Time
It's clearly stated on weekends that nail polish removal is not available and the average waiting time is 35 minutes per person, but I waited for nearly three hours. One number was stuck for two hours before I was finally informed that someone else was removing their nails. There's a clear inconsistency between the rules and enforcement.

📌 Rude Techniques + Poor Attitude
When it was my turn, I was first rushed by phone. The manicurist wasn't there when I arrived, so I waited for over ten minutes. During this time, they impatiently refused to let me refer to the designs on the wall. They clearly told me not to cut my nails short, but they still cut my thumb to the point where there was no free white edge, which disrupted my daily routine. The coloring process was frequently rushed, the lighting was insufficient, and the paint didn't get cleaned up after it was applied to my skin.

📌 Poor experience in the public areas

While checking my iPad during a meal, a black-uniformed employee took it from me and began using it without any explanation or consultation.

✅ The only positive point

The pink-uniformed women in the backroom were very attentive, providing meticulous service and a clear handover.

I have emailed Haidilao customer service with the full details and provided the requested information, hoping the brand will handle this professionally and responsibly. However, I have yet to receive a response.

I am deeply disappointed with the brand's handling of this situation.

-The manicurist that day was named Candy
-The pink-uniformed backroom staff were Nana and Sin Wei.",Haidilao,4.7,en
