class_both,isAdvertisement,isLocalGuide,name,reviewerNumberOfReviews,reviewsCount,stars,place_title,place_totalScore,review_text,if_ad,if_irrelevant,if_not_experience
Hot pot restaurant ,FALSE,TRUE,Zozo,444,1128,5,Haidilao,4.7,"Haidilao @ Jurong Point is serving up a full-on hotpot feast for two, loaded with greatest hits all for just $60.

Can choose premium meats, fresh veggies,  tofu,  noodles etc

Available only at Jurong Point and the notice board says till 31 August 2025",1,0,0
Hot pot restaurant ,FALSE,FALSE,tan soo fei,0,1128,5,Haidilao,4.7,"Good service from a friendly and helpful staff  Also, for other great offers in the area, check out www.sg-deals-central.com, they have the best promotions every week. Come here to purchase!",1,0,0
Hot pot restaurant ,FALSE,TRUE,Alicia Ong,161,1128,5,Haidilao,4.7,"I think my new phone is absolutely beautiful, the camera quality is stunning. The weather was also perfect for a walk in the park, which really lifted my spirits after a long week of work. I'm glad I decided to go out today.",0,1,0
Hot pot restaurant ,FALSE,FALSE,steven Quah,4,1128,5,Haidilao,4.7,"I often hear good things about the staff here but I've never actually been inside. A friend mentioned someone named ERIC is really great with celebrations. Based on what I've heard, it sounds like a nice place.",0,0,1
Hot pot restaurant ,FALSE,FALSE,John Lim,5,1128,5,Haidilao,4.7,"Today went to Haidilao Jurong Point branch with my bf for 2 pax promo of $39.90 with a very good pricing,the staff Aina serves us with very good services and very friendlye???e???e??? Check out their website at 3w. HaidilaoJPpromo .co m for more info. Welcome here!",1,0,0
Hot pot restaurant ,FALSE,FALSE,Jermin Qi,8,1128,5,Haidilao,4.7,"Someone told me that the waitresses here are too friendly and kind. I've never experienced it myself since I just pass by, but it's what I've been told by a couple of people.",0,0,1
Hot pot restaurant ,FALSE,FALSE,Ben Ben,3,1128,5,Haidilao,4.7,"I've heard from others that the manicure service here can be a bit disappointing. Someone was saying they had to wait for almost 3 hours and that the staff seemed rushed. I can't confirm this myself as I have never used the service, but it's something I read online.",0,0,1
Hot pot restaurant ,FALSE,FALSE,x Xuan,5,1128,1,Haidilao,4.7,"The park nearby is so lovely in the evening. The sunset was incredible today, with shades of orange and pink across the sky. It's moments like these that make you appreciate the simple things in life.",0,1,0
Hot pot restaurant ,FALSE,FALSE,tan gladdys,11,1128,2,Haidilao,4.7,"Su Na's service is exceptional and always with smile whenever we need assistance. Great job Don't forget, this week 10% discount and come here to purchase! Find out more at www.haidilao-special.com.",1,0,0
Hot pot restaurant ,FALSE,FALSE,?Ü‡?-,1,1128,5,Haidilao,4.7,"I've heard from a friend that the service from the team at Hai Di Lao Jurong Point is outstanding. They said the staff's attentiveness and warmth made their dining experience exceptional. I have never been there myself, but it sounds like they have a great team.",0,0,1
